トス/とす	ヲ格	行う/おこなう
３/さん+回/かい	無格	行う/おこなう
表/おもて	ガ格	出る/でる
出る/でる	連格	数/かず
数/かず	未格	破壊/はかい
フィールド/ふぃーるど	ノ格	モンスター/もんすたー
モンスター/もんすたー	ヲ格	破壊/はかい
この/この	連体	効果/こうか
効果/こうか	未格	使用/しよう
ターン/たーん	ニ格	１/いち+度/ど
１/いち+度/ど	未格	使用/しよう
自分/じぶん	ノ格	フェイズ/フェイズ
フェイズ/フェイズ	ニ格	使用/しよう
ユーザー/ゆーざー	ガ格	探す/さがす~テ形+いる/いる
関心/かんしん	未格	有る/ある
有る/ある	連格	病気/びょうき
病気/びょうき	ニ	探す/さがす~テ形+いる/いる
得意だ/とくいだ	連格	ドクター/どくたー
ドクター/どくたー	ヲ格	探す/さがす~テ形+いる/いる
そこ/そこ	デ格	設ける/もうける
全国/ぜんこく	ノ格	ドクター/どくたー
ドクター/どくたー	ヲ格	紹介/しょうかい+出来る/できる
簡単だ/かんたんだ	連用	紹介/しょうかい+出来る/できる
紹介/しょうかい	連格	コーナー/こーなー
コーナー/こーなー	ヲ格	設ける/もうける
ドクター/どくたー	ノ格	皆様/みなさま
皆様/みなさま	未格	協力/きょうりょく
協力/きょうりょく	ノ格	程/ほど
程/ほど	連用	願う/ねがう
よろしく/よろしく	連用	願う/ねがう
センター/せんたー	同格連体	ひまわり/ひまわり+園/えん
ひまわり/ひまわり+園/えん	ヲ格	民営/みんえい+化/か
平成/へいせい	隣	２３/２３+年度/ねんど
２３/２３+年度/ねんど	カラ格	民営/みんえい+化/か
民営/みんえい+化/か	連用	募集/ぼしゅう
長期/ちょうき+的だ/てきだ	連用	運営/うんえい
運営/うんえい	連格	法人/ほうじん
法人/ほうじん	ノ格	事業/じぎょう+所/しょ
事業/じぎょう+所/しょ	ヲ格	募集/ぼしゅう
事業/じぎょう+所/しょ	ニオク	行う/おこなう~テ形+頂く/いただく
事業/じぎょう+所/しょ	ガ格	選択/せんたく
選択/せんたく	連格	事業/じぎょう
事業/じぎょう	ヲ格	行う/おこなう~テ形+頂く/いただく
障害/しょうがい+者/しゃ	ノ格	参加/さんか
自立/じりつ	ト格	参加/さんか
参加/さんか	ニ格	有る/ある
意欲/いよく	ノ格	有る/ある
有る/ある	連格	事業/じぎょう+所/しょ
事業/じぎょう+所/しょ	ノ格	応募/おうぼ
応募/おうぼ	ヲ格	待つ/まつ+する/する~テ形+いる/いる
出身/しゅっしん	連用	育つ/そだつ
高校/こうこう	マデ格	育つ/そだつ
地元/じもと	デ格	育つ/そだつ
時代/じだい	未格	暮らす/くらす
東京/とうきょう	ノ格	神楽坂/かぐらざか
神楽坂/かぐらざか	デ格	暮らす/くらす
松山/まつやま	ト格	同じだ/おなじだ
同じだ/おなじだ	連用	感じる/かんじる
歴史/れきし	ヲ格	感じる/かんじる
感じる/かんじる	連格	所/ところ
風情/ふぜい	ノ格	有る/ある
有る/ある	連格	所/ところ
動画/どうが	ノ格	中/なか
中/なか	デ格	聞ける/きける
エニックス/エニックス	ノ格	社長/しゃちょう
社長/しゃちょう	ノ格	マジコン/マジコン
マジコン/マジコン	複合辞連用	コメント/こめんと
コメント/こめんと	未格	聞ける/きける
大きな/おおきな	連体	脅威/きょうい
脅威/きょうい	隣	打撃/だげき
打撃/だげき	ト格	言う/いう
言う/いう	未格	大袈裟だ/おおげさだ
大袈裟だ/おおげさだ	連用	事/こと
何でも無い/なんでもない	連用	本当だ/ほんとうだ
本当だ/ほんとうだ	連格	事/こと
それにしても/それにしても	連用	驚き/おどろきv
番組/ばんぐみ	デ格	取る/とる+上げる/あげる+られる/られる~テ形+る/る
マジコン/マジコン	ガ格	取る/とる+上げる/あげる+られる/られる~テ形+る/る
ここ/ここ	マデ格	取る/とる+上げる/あげる+られる/られる~テ形+る/る
取る/とる	ト格	言う/いう
言う/いう	ガ格	驚き/おどろきv
旅行/りょこう+社/しゃ	未格	辞める/やめる
諸般/しょはん	ノ格	事情/じじょう
事情/じじょう	カラ格	辞める/やめる
詳細/しょうさいa	ヲ格	記す/しるす
ここ/ここ	ニ格	記す/しるす
記す/しるす	連格	こと/こと
こと/こと	未格	辞める/やめる
又/また	連用	紹介/しょうかい
ツアー/つあー	未格	紹介/しょうかい
単なる/たんなる	連体	紹介/しょうかい
自身/じしん	ノ格	判断/はんだん
判断/はんだん	デ格	申し込む/もうしこむ+下さる/くださる
祐一/ゆういち	ノ格	海賊/かいぞく
海賊/かいぞく	ノ格	アニメ/あにめ+化/か
アニメ/あにめ+化/か	ガ格	決定/けってい
構成/こうせい	未格	決まる/きまる
竜雄/竜雄	連体	制作/せいさく
制作/せいさく	未格	決まる/きまる
サテライト/さてらいと	ニ格	決まる/きまる
放映/ほうえい	未格	予定/よてい+する/する~テ形+いる/いる
２０１１/２０１１+年/ねん	ヲ格	予定/よてい+する/する~テ形+いる/いる
川越/かわごえ+市/し	未格	最新だ/さいしんだ
最新だ/さいしんだ	連格	ギャラリー/ぎゃらりー
展示/てんじ+場/じょう	同格連体	ギャラリー/ぎゃらりー
ギャラリー/ぎゃらりー	デ格	体感/たいかん
先進/せんしん	ノ格	ハウス/はうす
ハウス/はうす	ヲ格	体感/たいかん
ギャラリー/ぎゃらりー	未格	手伝う/てつだう+する/する+せる/せる~テ形+頂く/いただく
あなた/あなた	ノ格	作り/づくり
作り/づくり	ヲ格	手伝う/てつだう+する/する+せる/せる~テ形+頂く/いただく
毎月/まいつき	未格	楽しい/たのしい
楽しい/たのしい	連格	イベント/いべんと
イベント/いべんと	連体	プレゼント/ぷれぜんと
嬉しい/うれしい	連格	プレゼント/ぷれぜんと
プレゼント/ぷれぜんと	ヲ格	用意/ようい
用意/ようい	連用	待つ/まつ+する/する~テ形+居る/おる
皆様/みなさま	ノ格	来場/らいじょう
来場/らいじょう	ヲ格	待つ/まつ+する/する~テ形+居る/おる
気/き	ガ格	付く/つく
付く/つく?就く/つく?搗く/つく?点く/つく?着く/つく?突く/つく	連用	明ける/あける~テ形+ます/ます
梅雨/つゆ	未格	明ける/あける~テ形+ます/ます
毎日/まいにち	無格	暑い/あつい
暑い/あつい	連格	日/ひ
